Order ID,Date,Status,Category,Qty,Amount,ship-state,ship-city
404-2610289-4409150,2022-05-14,Shipped - Delivered to Buyer,kurta,1,345.0,UTTAR PRADESH,DEOBAND
404-6120165-2009935,2022-05-31,Shipped,Western Dress,1,625.0,WEST BENGAL,KOLKATA
406-5039848-9222752,2022-04-02,Shipped - Delivered to Buyer,kurta,1,453.0,TAMIL NADU,CHENNAI
408-1338616-5821168,2022-04-07,Cancelled,Set,0,750.48,ASSAM,GUWAHATI
171-2991661-8960358,2022-04-21,Shipped,Set,1,696.0,DELHI,NEW DELHI
405-3947837-8143501,2022-06-18,Shipped,kurta,1,399.0,MAHARASHTRA,KALYAN
406-8423744-5890731,2022-04-10,Shipped - Delivered to Buyer,kurta,1,382.0,KARNATAKA,BENGALURU
408-1550635-3117940,2022-05-19,Shipped - Delivered to Buyer,Set,1,786.0,MAHARASHTRA,PUNE
404-2797535-9573964,2022-04-23,Cancelled,kurta,0,350.48,BIHAR,BEGUSARAI
171-0467502-0433111,2022-05-02,Shipped,Top,1,339.0,KARNATAKA,BENGALURU
405-0843296-7457920,2022-04-23,Shipped,kurta,1,533.0,KARNATAKA,KARWAR
171-3017078-9005923,2022-04-13,Shipped,kurta,1,399.0,ANDHRA PRADESH,NELLORE
407-7775454-9554701,2022-06-23,Shipped - Picked Up,Western Dress,1,735.0,WEST BENGAL,HOWRAH
171-7484572-4193950,2022-05-30,Shipped,Set,1,641.0,KERALA,Thiruvalla
406-9280390-8645104,2022-04-05,Shipped,Set,1,927.0,KARNATAKA,Mysore
404-9705006-6284325,2022-06-02,Cancelled,kurta,0,0.0,MAHARASHTRA,DAHANU
406-9941225-3632333,2022-06-08,Shipped,kurta,1,487.0,TELANGANA,HYDERABAD
404-5575514-0703543,2022-06-02,Shipped,Western Dress,1,735.0,TRIPURA,AGARTALA
408-0013954-9281121,2022-04-03,Shipped,Top,1,0.0,MAHARASHTRA,PUNE
402-1648812-3846718,2022-04-18,Shipped,kurta,1,487.0,TAMIL NADU,COIMBATORE
403-3735653-8013936,2022-04-24,Shipped,kurta,1,329.0,MAHARASHTRA,NAGPUR
406-1593919-0721104,2022-05-27,Shipped,kurta,0,0.0,MAHARASHTRA,PUNE
404-0386385-7733168,2022-05-06,Shipped,Set,1,579.0,DELHI,NEW DELHI
406-0353583-7360352,2022-04-03,Shipped,Set,1,567.0,TAMIL NADU,CHENNAI
406-7851565-3005115,2022-06-22,Shipped - Delivered to Buyer,Set,1,852.0,GOA,margao
405-0039280-5799567,2022-04-27,Shipped,Top,1,259.0,MAHARASHTRA,PUNE
171-7810581-3642741,2022-05-08,Shipped,Western Dress,1,366.0,KERALA,THIRUVANANTHAPURAM
405-0999547-7040313,2022-06-20,Shipped,Set,1,563.0,UTTARAKHAND,ROORKEE
406-1114136-1321929,2022-05-10,Shipped - Delivered to Buyer,Western Dress,1,885.0,Gujarat,SURAT
405-6331295-2591566,2022-05-03,Shipped,kurta,1,435.0,KARNATAKA,Ramdurg - belgavi
407-5109030-3053121,2022-05-03,Shipped,kurta,1,471.0,UTTAR PRADESH,LUCKNOW
406-0594427-7115555,2022-05-16,Shipped,Set,1,1133.0,KARNATAKA,Manipal
402-5557016-5594769,2022-05-23,Shipped,Set,1,824.0,WEST BENGAL,KOLKATA
408-9096671-8937965,2022-04-14,Shipped,kurta,1,259.0,WEST BENGAL,JALPAIGURI
404-1757324-5873159,2022-04-13,Shipped,Set,1,820.0,TELANGANA,HYDERABAD
405-8746296-1888342,2022-05-26,Shipped - Delivered to Buyer,kurta,1,353.0,DELHI,NEW DELHI
403-2211194-9938763,2022-04-02,Shipped,kurta,1,322.0,KERALA,THIRUVALLA
408-9080340-6499527,2022-04-06,Shipped,Set,1,759.0,WEST BENGAL,Kolkata
171-2317155-5976332,2022-05-18,Cancelled,kurta,0,0.0,KARNATAKA,KOPPAL
405-9488514-2297943,2022-04-15,Shipped - Delivered to Buyer,kurta,1,685.0,MAHARASHTRA,PUNE
406-0516298-4450705,2022-06-18,Shipped,Western Dress,1,735.0,MAHARASHTRA,MUMBAI
406-8251107-7199569,2022-04-25,Shipped - Delivered to Buyer,kurta,1,345.0,DELHI,NEW DELHI
406-3474030-9909924,2022-04-28,Shipped,kurta,1,376.0,ODISHA,BHUBANESWAR
171-3928508-6717137,2022-05-08,Shipped,Set,1,788.0,TAMIL NADU,CHENNAI
171-5348039-0641921,2022-05-17,Cancelled,Top,1,690.0,MANIPUR,Leimakhong Town
171-7278056-1245104,2022-05-10,Shipped - Delivered to Buyer,Ethnic Dress,1,373.0,BIHAR,GAYA
403-1393393-5745929,2022-04-03,Shipped,Set,1,1228.0,MADHYA PRADESH,BHOPAL
404-9359436-8045104,2022-04-17,Shipped - Delivered to Buyer,Set,1,496.0,RAJASTHAN,JODHPUR
407-1002218-1046753,2022-05-03,Shipped,kurta,1,376.0,DELHI,NEW DELHI
403-3344756-5813946,2022-06-19,Shipped,kurta,1,496.0,TAMIL NADU,CHENNAI
405-5111869-0236334,2022-06-24,Cancelled,kurta,0,336.19,KERALA,THIRUVANANTHAPURAM
402-2487807-0648307,2022-04-03,Shipped,kurta,1,399.0,MAHARASHTRA,NAGPUR
408-9678289-0455535,2022-05-22,Shipped,Set,1,629.0,HARYANA,Ambala
408-7684859-1327501,2022-05-03,Shipped,kurta,1,534.0,KERALA,Kollam
402-3280654-8652337,2022-04-15,Shipped - Delivered to Buyer,kurta,1,459.0,TAMIL NADU,Coimbatore
403-8183045-6437968,2022-04-02,Shipped,kurta,1,399.0,TELANGANA,Hyderabad
171-9190885-3911562,2022-04-26,Shipped,Set,1,696.0,TELANGANA,HYDERABAD
407-0394567-7944368,2022-05-17,Shipped - Delivered to Buyer,Ethnic Dress,1,373.0,MAHARASHTRA,NAVI MUMBAI
408-0896193-2747559,2022-06-18,Shipped,Western Dress,1,735.0,TELANGANA,HYDERABAD
403-5340566-2367513,2022-05-23,Shipped,Set,1,641.0,MAHARASHTRA,NAVI MUMBAI
407-4314459-7161148,2022-06-12,Shipped,Set,1,845.0,UTTAR PRADESH,Agra
408-5806862-7982742,2022-05-01,Shipped - Delivered to Buyer,Set,1,534.0,TELANGANA,HYDERABAD
407-6518179-8601969,2022-04-08,Shipped,Set,1,968.0,MAHARASHTRA,NASHIK
171-5782777-6979568,2022-04-29,Shipped - Delivered to Buyer,kurta,1,342.0,KARNATAKA,BENGALURU
402-9391481-7253943,2022-05-19,Shipped,Western Dress,1,885.0,MEGHALAYA,SHILLONG
407-9894147-1569936,2022-04-06,Shipped,kurta,1,469.0,TAMIL NADU,CHENNAI
407-7055065-9965931,2022-05-08,Shipped,Set,1,909.0,RAJASTHAN,JAIPUR
408-7147615-0639515,2022-04-15,Shipped,kurta,1,399.0,MEGHALAYA,MAWLAI
408-5715164-8329919,2022-04-06,Shipped - Delivered to Buyer,kurta,1,635.0,HARYANA,GURUGRAM
171-0455985-2169922,2022-06-01,Cancelled,Set,0,0.0,KARNATAKA,BENGALURU
405-1511488-9151532,2022-05-28,Shipped,Western Dress,1,825.0,TAMIL NADU,CHENNAI
171-7923144-9498710,2022-05-14,Shipped - Delivered to Buyer,kurta,1,575.0,TELANGANA,MANUGUR
407-7416338-4922733,2022-05-11,Shipped - Delivered to Buyer,kurta,1,471.0,MAHARASHTRA,Ulhasnagar
403-3475118-8054760,2022-05-07,Shipped,kurta,1,909.0,TAMIL NADU,TIRUPATHUR VELLORE DISTRICT
403-7574978-4649121,2022-05-31,Shipped,kurta,1,469.0,TAMIL NADU,Kanyakumari district
404-6860506-4720318,2022-04-23,Shipped,Set,1,788.0,TELANGANA,BHAINSA
408-2753156-8764324,2022-05-01,Shipped,Set,1,759.0,WEST BENGAL,HOWRAH
408-7488312-3573910,2022-04-22,Shipped,Set,1,0.0,UTTAR PRADESH,KANPUR
402-6114305-5421117,2022-05-14,Shipped - Delivered to Buyer,kurta,1,345.0,KARNATAKA,Bangalore
402-6578868-6726757,2022-06-02,Shipped,Set,1,1333.0,JHARKHAND,DHANBAD
408-4330736-0029966,2022-06-16,Shipped,kurta,1,925.0,KARNATAKA,Bengaluru
171-6083967-3421911,2022-05-06,Shipped,Set,1,1432.0,MAHARASHTRA,NAVI MUMBAI
405-1911136-0410760,2022-04-29,Shipped - Delivered to Buyer,Set,1,759.0,DELHI,NEW DELHI
171-0489562-1821931,2022-06-11,Cancelled,Set,1,1137.0,WEST BENGAL,KOLKATA
171-5057375-2831560,2022-05-11,Cancelled,kurta,0,332.38,TAMIL NADU,CHENNAI
406-0390371-4892353,2022-06-05,Shipped,kurta,1,1099.0,MAHARASHTRA,MUMBAI
408-5827997-3869917,2022-05-17,Shipped - Delivered to Buyer,Western Dress,1,771.0,MAHARASHTRA,pune
171-5404065-6253133,2022-06-22,Shipped - Delivered to Buyer,Set,1,759.0,MADHYA PRADESH,INDORE
406-3591678-9191552,2022-04-25,Shipped,Set,1,548.0,KARNATAKA,BENGALURU
402-6095856-9320300,2022-04-17,Shipped,kurta,1,487.0,WEST BENGAL,KOLKATA
402-2307146-0548309,2022-06-05,Shipped,Western Dress,1,735.0,MADHYA PRADESH,BHOPAL
403-3994323-2561154,2022-04-13,Shipped,kurta,1,486.0,DELHI,NEW DELHI
405-3828703-7309150,2022-06-23,Cancelled,kurta,0,0.0,HARYANA,GURUGRAM
405-4155438-9903514,2022-04-02,Cancelled,Set,1,749.0,Gujarat,Ahmedabad
171-4375821-9127568,2022-05-10,Shipped,Set,1,799.0,MADHYA PRADESH,JABALPUR
406-5903280-1978727,2022-05-19,Shipped,Western Dress,1,771.0,BIHAR,DUMRAON
407-3209564-4435510,2022-05-10,Shipped - Returned to Seller,Set,1,539.0,WEST BENGAL,NEW TOWN
405-3442482-9719563,2022-04-09,Shipped,kurta,1,475.0,MAHARASHTRA,MUMBAI
403-0737598-0879537,2022-05-06,Shipped,Set,1,597.0,ANDHRA PRADESH,GUNTUR
405-7617695-4770725,2022-05-22,Shipped - Delivered to Buyer,Top,1,301.0,DELHI,NEW DELHI
402-7302762-7923563,2022-05-24,Shipped,Set,1,1523.0,MAHARASHTRA,MUMBAI
171-3624248-5773147,2022-04-12,Shipped,Set,1,788.0,MAHARASHTRA,"Pimpri Chinchwad, Pune"
402-5320333-4491512,2022-05-19,Shipped,Set,1,988.0,WEST BENGAL,Chinsurah
406-4511511-0833155,2022-06-08,Shipped,kurta,1,399.0,UTTARAKHAND,Dehardun
402-6437854-3911524,2022-05-28,Shipped,kurta,1,764.0,MADHYA PRADESH,SHIVPURI
408-7172658-9889122,2022-04-24,Cancelled,Set,0,0.0,DELHI,NEW DELHI
171-2344352-8916345,2022-05-12,Shipped,Top,1,387.0,TELANGANA,HYDERABAD
404-5010185-4881960,2022-04-21,Cancelled,kurta,1,442.0,TELANGANA,HYDERABAD
408-5100097-5549906,2022-04-11,Shipped,Set,1,613.0,KARNATAKA,MYSURU
408-0865919-2398751,2022-05-28,Shipped,Set,1,847.0,UTTAR PRADESH,Maharajganj
408-3491661-4179558,2022-04-06,Cancelled,kurta,0,0.0,KARNATAKA,BENGALURU
405-6495448-6510753,2022-05-08,Shipped - Delivered to Buyer,Top,1,498.0,TELANGANA,HYDERABAD
402-2367699-6520349,2022-04-15,Shipped,Top,1,665.0,KARNATAKA,BENGALURU
407-6011048-3913960,2022-05-05,Shipped,Set,1,1111.0,Gujarat,ANKLESHWAR
402-7388896-1874709,2022-05-12,Cancelled,kurta,0,0.0,MAHARASHTRA,Nalasopara west
402-9144038-4184334,2022-04-25,Shipped,kurta,1,376.0,TELANGANA,HYDERABAD
402-8591274-1783566,2022-04-21,Shipped,Set,1,759.0,ANDHRA PRADESH,VISAKHAPATNAM
408-2391367-1478733,2022-04-19,Shipped - Delivered to Buyer,kurta,1,432.0,DELHI,NEW DELHI
407-2665146-7097930,2022-04-01,Shipped - Delivered to Buyer,kurta,1,499.0,HARYANA,GURGAON
402-5410554-4758758,2022-05-02,Cancelled,Set,1,641.0,TELANGANA,HYDERABAD
408-1560141-0805110,2022-06-01,Shipped,Western Dress,1,659.0,KARNATAKA,Bangalore
404-5848202-7366725,2022-04-30,Cancelled,Western Dress,0,734.29,TELANGANA,HYDERABAD
404-5549999-1902763,2022-05-31,Shipped,Western Dress,1,885.0,MAHARASHTRA,VASAI VIRAR
408-1597303-1315532,2022-05-08,Shipped,kurta,1,422.0,MAHARASHTRA,Mumbai
407-5670494-5879541,2022-06-12,Cancelled,Set,0,632.38,MADHYA PRADESH,BHOPAL
408-8380784-9749163,2022-04-13,Shipped - Delivered to Buyer,Set,1,660.0,WEST BENGAL,NEW TOWN
402-6727239-7489153,2022-06-20,Shipped,Top,1,726.0,UTTARAKHAND,ALMORA
405-2603218-3709129,2022-05-19,Shipped - Delivered to Buyer,Western Dress,1,771.0,MAHARASHTRA,AMBARNATH
171-4217499-3971557,2022-05-08,Shipped,Top,1,360.0,MADHYA PRADESH,BHOPAL
403-6021854-6935551,2022-06-17,Shipped,kurta,1,422.0,KERALA,EDATHALA
171-7114190-0817914,2022-05-17,Shipped,Set,1,888.0,UTTAR PRADESH,ALLAHABAD
408-7236842-1118720,2022-04-24,Shipped,Top,1,463.0,WEST BENGAL,NEW TOWN
403-6498872-8123517,2022-04-01,Shipped - Delivered to Buyer,kurta,1,495.0,HIMACHAL PRADESH,CHAMBA
408-7883354-0672324,2022-05-11,Shipped - Delivered to Buyer,kurta,1,471.0,KARNATAKA,BENGALURU
403-1064114-1351532,2022-05-04,Shipped,Set,1,1776.0,ODISHA,SAMBALPUR
408-9310852-6380304,2022-05-30,Shipped - Delivered to Buyer,Western Dress,1,0.0,ANDHRA PRADESH,TIRUPATI
402-4442257-5477157,2022-06-28,Shipped,Set,1,495.0,TAMIL NADU,Nagercoil
171-8267163-9184321,2022-06-05,Shipped - Delivered to Buyer,kurta,1,461.0,MAHARASHTRA,KARJAT RAIGARH DISTRICT
405-9451579-2223528,2022-06-02,Shipped,Set,1,949.0,KARNATAKA,BENGALURU
402-4000308-9457120,2022-04-20,Shipped,kurta,1,399.0,KARNATAKA,BENGALURU
403-9519030-5438711,2022-04-21,Shipped - Delivered to Buyer,kurta,1,376.0,KARNATAKA,BENGALURU
402-6454443-1280351,2022-04-14,Shipped,Set,1,653.0,KERALA,KOTHAMANGALAM
408-6466311-6949931,2022-04-30,Shipped,Set,1,0.0,UTTAR PRADESH,LUCKNOW
404-8711304-7038702,2022-04-30,Shipped,Set,1,1112.0,TELANGANA,HYDERABAD
405-3013904-5600336,2022-05-07,Shipped,kurta,1,399.0,ANDHRA PRADESH,GUNTUR
407-0744440-5334705,2022-04-18,Cancelled,kurta,0,0.0,DELHI,NEW DELHI
408-8049757-2931569,2022-05-12,Shipped - Delivered to Buyer,Set,1,655.0,MANIPUR,IMPHAL
403-1663409-3962705,2022-05-20,Shipped,Western Dress,1,771.0,DELHI,NEW DELHI
402-9850643-0481949,2022-06-07,Shipped,kurta,1,517.0,HARYANA,MAHENDRAGARH
408-5501505-8502709,2022-06-16,Shipped,Set,1,599.0,KARNATAKA,BENGALURU
405-7444400-0487546,2022-04-19,Shipped,Set,1,1115.0,DELHI,NEW DELHI
402-2957277-3435524,2022-04-25,Shipped,kurta,1,666.0,Gujarat,AHMEDABAD
403-6940002-1633922,2022-06-13,Cancelled,Set,0,760.95,KARNATAKA,MANGALURU
402-7153523-6580317,2022-05-26,Shipped,Western Dress,1,771.0,TAMIL NADU,TIRUTTANI
405-9220361-2546762,2022-06-23,Shipped - Delivered to Buyer,Western Dress,1,735.0,KARNATAKA,BENGALURU
403-2979653-1669115,2022-06-23,Shipped,kurta,1,422.0,TAMIL NADU,"Alwarpet, Chennai"
402-0147497-2191537,2022-06-03,Shipped,Set,1,1442.0,KERALA,CHOCKLI
406-3360322-7744338,2022-04-13,Shipped,Top,1,751.0,MAHARASHTRA,MUMBAI
404-3720039-6513926,2022-04-13,Shipped - Delivered to Buyer,kurta,1,299.0,KARNATAKA,BALLARI
408-8877886-1668359,2022-04-16,Shipped,kurta,1,435.0,KARNATAKA,BENGALURU
404-0739017-0910734,2022-06-05,Shipped,Set,1,852.0,MAHARASHTRA,Mumbai
171-8159388-2758701,2022-06-16,Shipped,kurta,1,435.0,UTTAR PRADESH,NOIDA
408-4194555-8853948,2022-05-01,Shipped,kurta,1,329.0,MAHARASHTRA,MUMBAI
408-6197782-5401109,2022-05-24,Shipped - Delivered to Buyer,kurta,1,449.0,MAHARASHTRA,THANE
402-7030137-7006769,2022-06-17,Shipped - Delivered to Buyer,Set,1,764.0,TAMIL NADU,Chennai
402-5213802-7051561,2022-06-16,Shipped - Returned to Seller,Set,1,692.0,TELANGANA,HYDERABAD
404-4948608-7512366,2022-05-03,Cancelled,Western Dress,1,791.0,MAHARASHTRA,PANVEL
402-0252231-8609952,2022-06-10,Cancelled,kurta,0,0.0,MADHYA PRADESH,BASODA
405-1242524-5283558,2022-04-27,Shipped,kurta,1,376.0,KARNATAKA,Opposite to Sri mookambika Temple kollur
406-1505653-8377157,2022-05-21,Shipped,kurta,1,771.0,DELHI,NEW DELHI
408-1698084-9752351,2022-04-03,Shipped,Set,1,799.0,KARNATAKA,ANKOLA
406-9741895-2717141,2022-04-06,Cancelled,kurta,0,0.0,MAHARASHTRA,KALYAN
171-5136075-6505951,2022-04-06,Shipped,Set,1,874.0,New Delhi,New Delhi
404-8429272-0147536,2022-04-25,Shipped,Set,1,1140.0,TAMIL NADU,CHENNAI
408-9357744-2334759,2022-06-04,Shipped,Top,1,572.0,MAHARASHTRA,MUMBAI
408-9051984-8413164,2022-04-11,Shipped,Set,1,788.0,DELHI,NEW DELHI
405-9665657-4712351,2022-04-22,Shipped - Delivered to Buyer,Western Dress,1,885.0,MAHARASHTRA,PUNE
171-0453930-7423522,2022-06-13,Shipped,kurta,1,459.0,TELANGANA,Hyderabad
405-4525008-5361936,2022-05-29,Shipped - Delivered to Buyer,Western Dress,1,771.0,MADHYA PRADESH,JABALPUR
407-2937902-3044362,2022-04-08,Shipped,Western Dress,1,885.0,MAHARASHTRA,MUMBAI
402-2112428-8756338,2022-04-28,Shipped,Set,1,1593.0,HARYANA,GURUGRAM
408-2812496-2121945,2022-04-23,Shipped,Western Dress,1,807.0,MAHARASHTRA,Pune
408-2187187-1423535,2022-06-04,Shipped,kurta,1,0.0,KARNATAKA,TUMAKURU
405-5540549-6306702,2022-05-02,Shipped,Set,1,599.0,MADHYA PRADESH,BHOPAL
405-1441296-1956312,2022-06-12,Shipped,Western Dress,1,690.0,MAHARASHTRA,Ambarnath East
171-7225365-2445961,2022-05-24,Shipped,Top,1,574.0,TAMIL NADU,CHENNAI
403-5447327-6967549,2022-05-12,Shipped,Western Dress,1,885.0,KARNATAKA,BENGALURU
406-7445693-7112368,2022-06-08,Shipped,Western Dress,1,735.0,MADHYA PRADESH,CHHATARPUR
403-6513993-1644303,2022-04-04,Shipped,kurta,1,385.0,MADHYA PRADESH,INDORE
404-4028883-1673959,2022-04-16,Shipped,Set,1,788.0,HARYANA,GURUGRAM
171-9992500-2301945,2022-04-13,Shipped - Delivered to Buyer,Western Dress,1,899.0,TELANGANA,HYDERABAD
408-0438813-5201153,2022-06-27,Cancelled,Set,0,856.19,KARNATAKA,CHIKKAMAGALURU
406-7299160-8106716,2022-04-10,Shipped,kurta,1,599.0,ANDHRA PRADESH,TIRUPATI
404-6098372-3800352,2022-04-25,Shipped - Delivered to Buyer,Set,1,968.0,RAJASTHAN,BEAWAR
171-6151949-1645924,2022-06-03,Cancelled,Set,0,0.0,KARNATAKA,GANGAWATI
405-1581618-6221109,2022-06-09,Cancelled,kurta,1,376.0,KERALA,NEYYATTINKARA
402-9855264-5220368,2022-06-23,Shipped,Western Dress,1,1091.0,WEST BENGAL,DURGAPUR
404-0286189-3305943,2022-04-26,Shipped - Delivered to Buyer,Set,1,684.0,UTTAR PRADESH,GREATER NOIDA
407-8154937-4503548,2022-06-25,Shipped,Top,1,493.0,KARNATAKA,Shivamogga
404-7166196-9928348,2022-06-04,Shipped,Set,1,635.0,TAMIL NADU,THANJAVUR
402-2140445-9659540,2022-05-03,Shipped - Delivered to Buyer,Set,1,464.0,DELHI,Delhi
405-7157063-8813941,2022-04-29,Shipped,kurta,1,459.0,UTTAR PRADESH,BANDA
171-0515045-2052361,2022-04-08,Shipped,Bottom,1,360.0,ANDHRA PRADESH,SRIKAKULAM
404-3361151-8962700,2022-05-04,Cancelled,kurta,1,431.0,MAHARASHTRA,GADHINGLAJ
407-5495828-4755555,2022-05-01,Shipped,Set,1,696.0,MAHARASHTRA,Dombivli west
171-6525563-8877103,2022-04-11,Shipped - Delivered to Buyer,Western Dress,1,744.0,TAMIL NADU,CHENNAI
404-8019228-9844307,2022-06-13,Shipped,Set,1,1281.0,UTTAR PRADESH,KANPUR
403-2583491-2976303,2022-04-13,Cancelled,kurta,1,517.0,ANDHRA PRADESH,TIRUPATI
407-0365944-5769136,2022-04-05,Shipped - Delivered to Buyer,kurta,1,475.0,MAHARASHTRA,PUNE
407-4972556-6720352,2022-05-14,Shipped - Returned to Seller,Set,1,1099.0,ODISHA,SAMBALPUR
404-7187323-4633927,2022-05-06,Shipped,Set,1,949.0,MAHARASHTRA,MUMBAI
406-6786384-1977149,2022-04-07,Shipped,Western Dress,1,859.0,KARNATAKA,MADIKERI
407-7637340-6857119,2022-05-05,Shipped,Set,1,603.0,TELANGANA,HYDERABAD
406-9626742-4153157,2022-04-12,Shipped,kurta,1,517.0,KARNATAKA,BENGALURU
408-9229170-7204324,2022-06-25,Shipped,Western Dress,1,688.0,MAHARASHTRA,MUMBAI
404-5142110-9697165,2022-06-16,Shipped,kurta,1,318.0,RAJASTHAN,JAIPUR
404-8834761-6856313,2022-04-20,Cancelled,Set,1,626.0,KERALA,"kattanam  , allepy"
408-7467211-1386738,2022-04-17,Shipped - Delivered to Buyer,Set,1,648.0,MAHARASHTRA,Mumbai
406-5488739-9105111,2022-06-14,Shipped,kurta,1,376.0,TELANGANA,HYDERABAD
403-9622676-3282703,2022-04-20,Shipped - Delivered to Buyer,Set,1,699.0,KERALA,KOLLAM
408-3881460-9669141,2022-04-12,Shipped,Set,1,799.0,MAHARASHTRA,PUNE
